Request Number,Create Date,Summary,Request Status
P871144-081723,8/17/2023 7:11:00 AM,"Under the Illinois Freedom of Information Act, 5 ILCS 140, I am requesting an
opportunity to inspect or obtain copies of the following public records from the
Chicago Police Department:
Any emails containing the term  ""police"" OR ""chicago"" OR ""academy"" OR ""story"" OR ""publish"" sent or received between October 1, 2022 and October 31, 2022 featuring at least one contact listed in group A AND at least one contact listed in group B, in the list below.
A spreadsheet log of all emails returned by this search listing their unique ID, subject, senders, recipients, and dates. (To assist in further narrowing this request, please make sure to send this information regardless of whether #1 is deemed unduly burdensome)
GROUP A
LARRY MERRITT
MARY MAY
THOMAS AHERN
ZIAVAN SMITH
DON TERRY
JONATHAN RHODES
KELLIE BARTOLI
Glen Brooks
Leslie C Silletti
News.Affairs@chicagopolice.org
graphicarts@chicagopolice.org
MICHELLE TANNEHILL
nwsaffr@chicagopolice.org
Melissa Stratton
MARGARET HUYNH
David O’Neal Brown
Eric Carter
MARY KORDELEWSKI
GROUP B
Fran Spielman
Any email address ending in @suntimes.com
Fran Spielman is a reporter at the Sun Times. In correspondence with other FOIA officers, they are able to input both names of email users and addresses.",Completed
P868447-080723,8/7/2023 5:42:00 PM,I am requesting the syllabus used for the Chicago Police Academy.,Completed
P865537-072723,7/27/2023 3:44:00 PM,"I am requesting the following public records: 

A list of all training conducted by any individual or entity not employed by your department from 1/1/21-present, on-site. Please include on-site, off-site and virtual training.


Invoices and contracts for any of the following training given to officers employed by your department from 1/1/21-present. Please include on-site training, as well as off-site training attended by one or more officers and reimbursed by the department.  
Street Cop Training Conference 
On Combat Training 
Bulletproof Warrior Training
Sheepdog Training


 Training given by the following individuals or entities to officers employed by your department from 1/1/21-present. Please include on-site, off-site and virtual training.

Dennis Benigno
Tomi Lahren
Marcus Lutrell
Tim Kennedy
Richard Mack
Jim Glennon
Dave Grossman
The Grossman Academy 

If there are any fees for searching or copying these records, please inform me if the cost will exceed $100.  However, I would also like to request a waiver of all fees in that the disclosure of the requested information is in the public interest. This information is not being sought for commercial purposes.
 
If you deny any or all of this request, please cite each specific exemption you feel justifies the refusal to release the information and notify me of the appeal procedures available to me under the law.",Closed
P859737-070723,7/7/2023 12:10:00 AM,"Training records: Police academy syllabus, Bike training, Range records, and all annual qualifications",Completed
P857744-062823,6/28/2023 12:35:00 PM,"Pursuant to the Illinois Freedom of Information Act., I hereby request the following records:

The incident report and any investigative reports, including supplements such as police narratives, produced in relation to the shooting incident at Wendell Phillips Academy High School on 10/12/2021 either a full, partial, or redacted release of the report.

In the event that there are fees, I would request a waiver, as I am a member of a nonprofit media outlet and these records will be used in the public interest. The requested documents will be made available to the general public, and this request is not being made for commercial purposes. 

I would prefer the request filed electronically, by e-mail attachment if available or CD-ROM if not.",Completed
P857238-062723,6/27/2023 9:21:00 AM,"I hereby request he incident report and any investigative reports, including supplements such as police narratives, produced in relation to the shooting incident at Chicago Vocational Career Academy on 04/09/2007.

In the event that there are fees, I would request a waiver, as I am a member of a nonprofit media outlet and these records will be used in the public interest. The requested documents will be made available to the general public, and this request is not being made for commercial purposes. 

I would prefer the request filed electronically, by e-mail attachment if available or CD-ROM if not.",Completed
P852142-060623,6/6/2023 11:48:00 PM,"To Whom It May Concern:

Pursuant to the Illinois Freedom of Information Act., I hereby request the following records:

I'm requesting incident reports, police narratives, and any other documentation about two gunfire incidents in the Harlan Community Academy on September 13, 2005 and Warren Elementary School on June 16, 2017.

The requested documents will be made available to the general public, and this request is not being made for commercial purposes.

In the event that there are fees, I would like to request a waiver as I am a member of the press and the records will be used for the interest of the public. I would prefer the request filled electronically, by e-mail attachment if available or CD-ROM if not.

Thank you in advance for your anticipated cooperation in this matter. I look forward to receiving your response to this request within 5 business days, as the statute requires.

Sincerely,
Daniella Jimenez
Investigative Reporting Workshop.

Upload documents directly: https://accounts.muckrock.com/accounts/login/?next=https%3A%2F%2Fwww.muckrock.com%2Faccounts%2Flogin%2F%3Fnext%3D%252Faccounts%252Fagency_login%252Fchicago-police-department-503%252Fgunfire-incident-report-147228%252F%253Femail%253Dfoia%252540chicagopolice.org&url_auth_token=AAAjxvqHOFMUD2aEFvXje-8ms6k%3A1q6l4e%3A3bilP6bwKJo_YzMmZuurcSJmpI0godewHhmxOIPcf9g",Completed
P852045-060623,6/6/2023 2:32:00 PM,CB#15738035,Completed
P848195-052023,5/20/2023 6:48:00 AM,"This is a request under the Illinois Freedom of Information Act.

 

Please provide me with all police reports received by your office from April 1, 2023 to the present, which fall under the following two categories:

Reports which refer to any of the following phrases:  “CryptoFX,” “Crypto FX,” “CFX,” “CryptoFX LLC,” “CFX Academy LLC,” “CFX Lifestyle Academy,” “CFX Company,” or “Crypto.”
Reports in which the address of the incident is 6859 West Addison Street, Chicago, IL, 60634.
 

Please also provide me with all police reports received by your office from September 1, 2022 to the present, in which the address of the incident is 2806 South Kolin Avenue, Chicago, IL, 60623 (note the longer period of time for this particular request).",Completed
P844114-050423,5/4/2023 7:48:00 PM,"I am seeking to obtain any applications for employment, applications for the CPD Academy, and applications and/or interview documents pertaining to the Supt. of Police position that was open in April of 2020. I am specifically trying to obtain documentation proving or disproving that James D. Fry of Troy, ID had tried to get into the Academy or obtain the Supt. of Police position.

I have reason to believe James D. Fry of Troy, ID is involved with the deaths of Tim & Leslie Jones in Oak Park, IL in April of 2020.

I need the hard documentation to prove his ties to Chicago aside from the properties associated with his name.",Completed
P844125-050423,5/4/2023 8:00:00 AM,lease provide me a most recent list since 2021 of CPD police officers promoted to police sergeant and CPD sergeants promoted to lieutenant that were to the academy.,Completed
P834477-033023,3/30/2023 10:29:00 AM,"We are a 3rd party assisting Primerica Life Insurance Company, processing a life insurance claim. We are requesting a copy of the incident report for the following individual:

Name:  Kanye Perkins
DOB:  
Date of Incident: 09/09/2022

This individual was shot at the 1600 Block of E 50th Street, in South Side, near Kenwood Academy High School. 

Thank you,
Charlie Whitmire
Case Manager",Completed
P833972-032823,3/28/2023 4:43:00 PM,"I am requesting access to the following records in your organization’s possession related to an incident that occurred on February 2, 2023  while I was a recruit in the Chicago Police Academy.  This incident  subsequently led to my termination from the Chicago Police Academy on February 3, 2023.  Please forward me the following information during the period of February 2, 2023  through present day:

•	All clear and present danger reports and attachments submitted to the Illinois Secretary of Police on or after February 2, 2023, related Vincent Mathis, Vincent A. Mathis Employee number (132905) or any other alias used to reference Vincent Mathis  
•	All communications (Email and Phone records) sent to the City of Chicago HR department  from CPD on or after February 2, 2023, related to a ""Do Not Hire"" status regarding Vincent Mathis, Vincent A. Mathis Employee number (132905) or any other alias used to reference Vincent Mathis.",Internal Review Pending
P833968-032823,3/28/2023 4:37:00 PM,"I am requesting access to the following records in your organization’s possession related to an incident that occurred on February 2, 2023  while I was a recruit in the Chicago Police Academy.  This incident  subsequently led to my termination from the Chicago Police Academy on February 3, 2023.  Please forward me the following information during the period of February 2, 2023  through present day:
•	All To-From subject reports from CPD academy Class 22-10-C related to this incident regarding Vincent A. Mathis Employee number (132905) on February 2, 2023 and subsequent dates . 
•	All To-From subject reports from CPD  personnel (lieutenants, Sergeants, Recruits and HR), containing Vincent Mathis, Vincent A. Mathis Employee number (132905) or any other alias used to reference Vincent Mathis.
•	All incident case reports related to this incident regarding Vincent A. Mathis Employee number (132905) on February 2, 2023 and subsequent dates . 
•	All incident case reports from October 2022 to present  day containing Vincent Mathis, Vincent A. Mathis Employee number or any other alias used to reference Vincent Mathis.",Internal Review Pending
P833960-032823,3/28/2023 4:30:00 PM,"I am requesting access to the following records in your organization’s possession related to an incident that occurred on February 2, 2023  while I was a recruit in the Chicago Police Academy.  This incident  subsequently led to my termination from the Chicago Police Academy on February 3, 2023.  Please forward me the following information during the period of February 2, 2023  through present day:
•	All Phone records  of calls made on February 2- present day between CPD personnel (Lieutenants, Sergeants, CPD academy recruits, related to the incident involving Vincent A. Mathis Employee number (132905) or any other alias used to reference Vincent Mathis
•	All records of phone calls made on February 2- present day ,from CPD HR department to any other agencies outside of CPD related to this incident.
•	All records of phone calls made on February 2- present day, from CPD HR between CPD personnel (Lieutenants, Sergeants, CPD academy recruits, related to the incident involving Vincent A. Mathis Employee number (132905) or any other alias used to reference Vincent Mathis",Completed
P833951-032823,3/28/2023 4:11:00 PM,"I am requesting access to the following records in your organization’s possession related to an incident that occurred on February 2, 2023  while I was a recruit in the Chicago Police Academy.  This incident  subsequently led to my termination from the Chicago Police Academy on February 3, 2023.  Please forward me the following information during the period of February 2, 2023  through present day:

•	All emails (2/3/23 - pres.) from recruits in CPD academy Class 22-10-C related to this incident regarding Vincent A. Mathis Employee number (132905) on February 2, 2023 and subsequent dates .
•	All emails (2/3/23 - pres.) containing  Vincent A. Mathis Employee number (132905) or any other alias used to reference Vincent Mathis.
•	All email records (2/3/23 - pres.) between CPD personnel (Lieutenant's, Sergeants, HR Personnel, and Sgt. James Buchanan) related to this incident and/or containing  Vincent A. Mathis Employee number (132905) or any other alias used to reference Vincent Mathis.",Completed
P829307-031323,3/13/2023 8:00:00 AM,"I am an investigator with the Department of Children and Family Services. I am looking to request the police report for one of my cases:

-Report number(s) #JF491XXX

Location address: 36XX W Belle Plaine Ave, Chicago Academy, Chicago, IL 60618-2101",Completed
P828660-031023,3/10/2023 10:57:00 AM,"Please consider this a request under the Illinois Freedom of Information Act.

We are requesting the following records involving former Chicago Police Officer Jeffrey B. Kriv, Star No. 19265:
•	All records submitted by or on behalf of Jeffrey Kriv as part of his employment application, and any records related to subsequent CPD job applications. 
•	All documents submitted prior to Kriv’s admission to the Police Training Academy, including records of physical testing, as well as a background check, psychological evaluation, drug testing, and other testing as required by the Chicago Police Department.
•	All documents from Kriv’s time at the Police Training Academy, including records of his tests and graduation. 

Because this information would be used in journalism intended to educate the public, we ask that you waive or reduce the normal fee for producing this information.  If any of the above records contain information you deem to be exempt from disclosure under the provisions of the Freedom of Information Act please redact that portion of the record and provide the remainder, specifying the precise nature of the redacted information and the specific exemption on which you rely in the event I were to ask for its disclosure. 

Please e-mail the information to Jodi.cohen@propublica.org and please let me know if you have any questions. 

Sincerely,

Jodi S. Cohen
ProPublica
Jodi.Cohen@Propublica.org
312-731-8867

Jennifer Smith Richards
Chicago Tribune
jrichards@chicagotribune.com",Wrong Department
P827578-030723,3/7/2023 12:54:00 PM,"I’m looking for the name, gender, race, height, year of birth, star number, physical fitness test results (e.g., pass or fail), and date of every officer’s career progression from the time the officer began at the academy, any promotions, changes in district, unit of assignment, unit of detail, awards, retirement date, date fired, and/or date resigned.  Please provide data on officers that began their careers from January 1, 2008, until the present. To be clear, I want the dates for the beginning of each of the career progression milestones that I listed above (e.g., date of academy start, date of promotion, date of unit assignment, retirement, resignation, etc.).? Please also state if each promotion was made through merit.   
 
In addition, I’m looking for the status of each of those officers and date(s) of those status changes.  For example: full duty, light duty, medical leave, IOD leave, family act leave, suspensions, and officers that were fired, but were then allowed back on the job, and officers that took leave to try a new job and either resigned or came back to CPD.?",Completed
P820898-021023,2/10/2023 11:55:00 AM,"To whom it may concern,

This is Tom Schuba with the Chicago Sun-Times. I hope this message finds you well. Pursuant to the Illinois Freedom of Information Act (5 ILCS 140/1 to 11), I respectfully request electronic copies of the following records from the Chicago Police Department:

1. A list of all applicants to join the Chicago Police Department as sworn officers who were removed from the department’s hiring list between Jan. 1, 2020, and the present date.
2. A list of all recruits who entered the Chicago Police Department’s training academy between Jan. 1, 2020, and the present date.
3. A list of all recruits who graduated from the Chicago Police Department’s training academy between Jan. 1 2020, and the present date. 
4. A list of all recruits and/or probationary police officers who have been fired by the Chicago Police Department between Jan. 1, 2020, and the present date.
5. A list of all recruits and/or probationary police officers who have resigned from the Chicago Police Department between Jan. 1, 2020, and the present date.

Please provide the requested records in separate spreadsheets. 

I believe that all of the information I have requested is subject to public disclosure pursuant to the FOIA. However, if you decide to withhold all or part of the requested records, please send me a detailed statement of the reasons for this denial along with specific legal reasons under FOIA to justify the nondisclosure. I look forward to your response to my request within five working days as required by the Act. 

Please do not hesitate to contact me if you have any questions or need my help in facilitating the release of this information.

Thanks, 
Tom",Completed
P814843-012023,1/20/2023 2:12:00 PM,"January 20, 2023

Chicago Police Department
Attn: Freedom of Information Officer
Freedom of Information Section, Unit 114
3510 S. Michigan Ave.
Chicago, IL 60653

Re: Freedom of Information Act Request

Dear CPD FOIA Officer:

THANK YOU for accepting this request for public records. 

Pursuant to the Illinois Freedom of Information Act, (5 ILCS 140/1 et seq.), I respectfully request all records related to Emily Barrera and Jose Camacho, who were students at Chicago Public Schools’ Marine Leadership Academy (1920 N Hamlin Ave.) and died by suicide.

Barrera was born in 2007. I do not have the birth year for Camacho. 

If you claim that any record is exempt from disclosure, in whole or in part, please provide a detailed explanation of the exemption on which your office relies and the nature of the material for which any exemption is claimed. 

I am a representative of the news media – a member of Investigative Reporters and Editors and the American Society of Journalists and Authors – and make this request as part of news gathering. 

I request a waiver of all fees because the disclosure of the requested records is in the public interest. 

If my request does not adequately describe the records, please contact me so that I may clarify my request, and when appropriate inform me of the manner in which records are filed, retrieved or generated. 

If you have any questions about this request or if I can be of assistance in any way, please do not hesitate to call me at 630-270-6896 or email me at Alex.Ruppenthal@gmail.com. 

Thank you in advance for your anticipated cooperation in this matter. I look forward to receiving your response to this request within 5 business days, as the statute requires. 

Sincerely, 
Alex Ruppenthal 

Independent Journalist 
Phone: 630-270-6896 
Email: Alex.Ruppenthal@gmail.com 
4170 N. Marine Drive 
Chicago, IL 60613",Completed
P813669-011723,1/17/2023 8:48:00 AM,i am looking to request the incident report and everything you have on the shooting that took place at  Dunbar Vocational Career Academy on 25 October 2012,Closed
P799551-111822,11/18/2022 12:13:00 PM,"Dear FOIA Officer, 

This is an order under the Illinois Freedom ofInformation Act, 5 ILCS 140 for: 

Written training materials provided to officer trainees enrolled in the training academy regarding the residential buildings in the scenario village at the Joint Public Safety Training Campus.",No Records Exist
P799235-111722,11/17/2022 11:14:00 AM,I am requesting the criminal homicide report for Case #JF408418,Completed
P798150-111122,11/11/2022 12:10:00 PM,"This is a FOIA request for any video and reports from an incident that happened at the Chicago Police Academy where a representative from a gun company was at the academy and gave a recruit a gun with a bullet inside and the gun was fired, hit a glass display, and was lodged in the wall.",Completed
P793062-102422,10/24/2022 11:29:00 AM,"Two officers Perez badge worn # 7453 and Female officer Rivera who wore badge number 13011 came to my job  to harass me at approximately 11:30 a.m. on October 3, 2022.  I would like a copy of the video footage from their investigation with me from both of their body cameras on this date and time.",Completed
P792065-101922,10/19/2022 3:26:00 PM,"I would like to know how much Chicago Police Department spent in a one year time period year on:
Taser cartridges for training- number of cartridges and cost of cartridges
Taser cartridges used by police officers - number of cartridges used and cost of cartridges
Bullets used in a training environment / academy - number of bullets used and cost of bullets
Bullets issued to police officers - number of bullets issues and cost of the bullets used.
# of taser deployments 

All information requested is for the one-year time period from 09/01/2021 to 08/31/2022.

Thank you.",Wrong Department
P777734-082922,8/29/2022 9:23:00 AM,"I am requesting an opportunity to inspect or obtain copies of a run sheet of Benito Juarez High School aka Benito Juarez Community Academy as it relates to 2150 S Laflin St, Chicago, IL 60608 to include any police transmissions, call logs, detail records, incident reports or any other electronic or tangible document from years 2011 - 2019.",Completed
P777204-082522,8/25/2022 3:48:00 PM,the incident report and/or case report and/or arrest report for an occurrence near/in front of North Kenwood Oakland Charter School/ Ariel Community Academy at approximately 8:00 a.m.  involving two parents and a gun.,Completed
P770973-080322,8/3/2022 6:17:00 AM,"Under the Illinois Freedom of Information Act, I request the following public records, also
including contractor public records under FOIA Section 7(2):
1. All records related to the shooting that occurred on October 12, 2021 at approximately 3:21
p.m. at or near 3840 S. Giles Ave. and/or the premises of Wendell Phillips Academy High
School, including but not limited to police reports, event reports, investigative reports, arrest
reports, supplemental reports, case supplementary reports, witness statements, analyses,
photographs, videos, and any other documents related to said shooting.
2. All videos recorded by any street camera, traffic light camera, blue light camera, school security
camera, and/or other camera at or near 3840 S. Giles Ave. and/or the premises of Wendell
Phillips Academy High School on October 12, 2021 between 2:00 p.m. and 5:00 p.m.
3. All records pertaining to each and every instance in which one or more members of the
Chicago Police Department responded to a 9-1-1 call and/or a call for service at or on the
premises of Wendell Phillips High School in Chicago, IL between January 1, 2010 and October
12, 2021, including but not limited to police reports, event reports, investigative reports, arrest
reports, supplemental reports, case supplementary reports, witness statements, analyses,
photographs, videos, and any other documents related to each such incident.
4. All documents sufficient to show the Chicago Police Department’s assessment of the threat
of gang violence at or near the premises of Wendell Phillips Academy High School in Chicago,
IL between January 1, 2016 and October 12, 2021, including but not limited to known and/or
suspected gang organizations operating in the area, known and/or suspected gang members
operating in the area, and known and/or suspected incidents of gang violence in the area.
2
Please send electronic, audio, and video documents in their original format. Please scan paper
documents into PDFs. Please deliver the documents to this email address, over a cloud sharing service,
or if those are impossible, mail me a CD to 30 N. LaSalle St., Suite 3120, Chicago, IL 60602. This is
not a commercial request. To the extent there are any copying charges, I request a fee waiver. If you
do not grant a fee waiver, please contact me for authorization before assessing copying charges over
$10. Do not redact any nonresponsive information; I want the complete copy of any record with any
responsive information. Please produce emails and attachments together.",Completed
P770771-080222,8/2/2022 12:58:00 PM,"Under the Illinois Freedom of Information Act, I request the following public records, also
including contractor public records under FOIA Section 7(2):
1. All records related to the shooting that occurred on October 12, 2021 at approximately 3:21
p.m. at or near 3840 S. Giles Ave. and/or the premises of Wendell Phillips Academy High
School, including but not limited to police reports, event reports, investigative reports, arrest
reports, supplemental reports, case supplementary reports, witness statements, analyses,
photographs, videos, and any other documents related to said shooting.
2. All videos recorded by any street camera, traffic light camera, blue light camera, school security
camera, and/or other camera at or near 3840 S. Giles Ave. and/or the premises of Wendell
Phillips Academy High School on October 12, 2021 between 2:00 p.m. and 5:00 p.m.
3. All records pertaining to each and every instance in which one or more members of the
Chicago Police Department responded to a 9-1-1 call and/or a call for service at or on the
premises of Wendell Phillips High School in Chicago, IL between January 1, 2010 and October
12, 2021, including but not limited to police reports, event reports, investigative reports, arrest
reports, supplemental reports, case supplementary reports, witness statements, analyses,
photographs, videos, and any other documents related to each such incident.
4. All documents sufficient to show the Chicago Police Department’s assessment of the threat
of gang violence at or near the premises of Wendell Phillips Academy High School in Chicago,
IL between January 1, 2016 and October 12, 2021, including but not limited to known and/or
suspected gang organizations operating in the area, known and/or suspected gang members
operating in the area, and known and/or suspected incidents of gang violence in the area.
2
Please send electronic, audio, and video documents in their original format. Please scan paper
documents into PDFs. Please deliver the documents to this email address, over a cloud sharing service,
or if those are impossible, mail me a CD to 30 N. LaSalle St., Suite 3120, Chicago, IL 60602. This is
not a commercial request. To the extent there are any copying charges, I request a fee waiver. If you
do not grant a fee waiver, please contact me for authorization before assessing copying charges over
$10. Do not redact any nonresponsive information; I want the complete copy of any record with any
responsive information. Please produce emails and attachments together.",Completed
P768801-072622,7/26/2022 2:30:00 PM,email search records,Completed
P767362-072022,7/20/2022 12:31:00 PM,"List of all instructors of the CPD Police Academy (as far back as possible - present), including:
- what years each individual was an instructor within the Police Academy
- what their title was within the Police Academy",No Records Exist
P763381-070522,7/5/2022 4:22:00 PM,Complaint Register # 279391,Completed
P756347-061422,6/14/2022 7:46:00 AM,case reports regarding a business name and family name,Completed
P755067-060822,6/8/2022 8:00:00 AM,"Our law firm, Romanucci & Blandin LLC, represents XXXXX and XXXX XXXXXX on behalf of
XXXXXXXX and XXXXXXX XXXXXX regarding a potential claim stemming from an occurrence on May 24, 2022 that took place inside the Sunflower Early Learning Academy at 5404 W Devon Ave, 1st Floor, in Chicago, IL 60646.

In light of the fact that investigative documents, photographs, video, and similar media will
likely be important evidence if we choose to pursue litigation, I request that you or any other person or entity with knowledge or control of these items take all necessary steps to preserve any and all items responsive to the above-referenced incident, including, but not limited to, any and all reports, photographs, notes, statements, audio recordings, transcriptions, video footage, surveillance footage, documents, 911 dispatch calls and transcripts, radio communications, and any and all information that in any way relates to the circumstances surrounding the incident at the
Sunflower Early Learning Academy on May 24, 2022, though May 29, 2022 regarding the
Ehrenberg family.


Pursuant to the provisions of the Illinois Freedom of Information Act (5 ILCS 140), I am
requesting information related to Chicago Police Department officer(s) responding to the
Sunflower Early Learning Academy, OEMC Officer’s responding to the incident, and any and all subsequent events stemming from this event. Specifically, I am requesting any and all reports, photographs, notes, statements, audio recordings, transcriptions, video footage, surveillance footage, documents, 911 dispatch calls and transcripts, radio communications, and any and all information that in any way relates to the circumstances surrounding the incident at the Sunflower Early Learning Academy on May 24, 2022, though May 29, 2022 regarding the XXXXXX.",Completed
